,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
144,144,144,DevinFunchess,CAR,21,WR,16,63,31,49.2%,473,15.3,5,7.5,1.9,29.6,FuncDe00
145,145,145,DexterMcCluster,TEN,26,WR,11,41,31,75.6%,260,8.4,1,6.3,2.8,23.6,McClDe00
146,146,146,BrandonColeman,NOR,23,WR,16,49,30,61.2%,454,15.1,2,9.3,1.9,28.4,ColeBr00
147,147,147,MalcomFloyd,LAC,34,WR,15,68,30,44.1%,561,18.7,3,8.3,2.0,37.4,FloyMa00
149,149,149,DeSeanJackson,WAS,29,WR,9,49,30,61.2%,528,17.6,4,10.8,3.3,58.7,JackDe00
151,151,151,QuintonPatton,SFO,25,WR,16,57,30,52.6%,394,13.1,1,6.9,1.9,24.6,PattQu00
156,156,156,LanceMoore,DET,32,WR,14,43,29,67.4%,337,11.6,4,7.8,2.1,24.1,MoorLa00
157,157,157,TaylorGabriel,CLE,24,WR,13,48,28,58.3%,241,8.6,0,5.0,2.2,18.5,GabrTa00
159,159,159,MarquessWilson,CHI,23,WR,11,51,28,54.9%,464,16.6,1,9.1,2.5,42.2,WilsMa02
162,162,162,AndrewHawkins,CLE,29,WR,8,43,27,62.8%,276,10.2,0,6.4,3.4,34.5,HawkAn00
163,163,163,JoshHuff,PHI,24,WR,15,42,27,64.3%,312,11.6,3,7.4,1.8,20.8,HuffJo00
164,164,164,AdamHumphries,TAM,22,WR,13,40,27,67.5%,260,9.6,1,6.5,2.1,20.0,HumpAd00
165,165,165,KennyStills,MIA,23,WR,16,63,27,42.9%,440,16.3,3,7.0,1.7,27.5,StilKe00
169,169,169,LeonardHankerson,3TM,26,WR,10,46,26,56.5%,327,12.6,3,7.1,2.6,32.7,HankLe00
170,170,170,DeVanteParker,MIA,22,WR,14,50,26,52.0%,494,19.0,3,9.9,1.9,35.3,ParkDe01
175,175,175,JavonteeHerndon,LAC,24,WR,8,33,24,72.7%,195,8.1,0,5.9,3.0,24.4,HernJa00
177,177,177,KeshawnMartin,NWE,25,WR,9,37,24,64.9%,269,11.2,2,7.3,2.7,29.9,MartKe01
178,178,178,NelsonAgholor,PHI,22,WR,13,44,23,52.3%,283,12.3,1,6.4,1.8,21.8,AghoNe00
181,181,181,RyanGrant,WAS,25,WR,16,42,23,54.8%,268,11.7,2,6.4,1.4,16.8,GranRy01
183,183,183,QuincyEnunwa,NYJ,23,WR,12,46,22,47.8%,315,14.3,0,6.8,1.8,26.3,EnunQu00
185,185,185,JustinHunter,TEN,24,WR,9,31,22,71.0%,264,12.0,1,8.5,2.4,29.3,HuntJu00
