,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
158,158,MattHazel,IND,25,WR,4,1,1,100.0%,1,1.0,0,1.0,0.3,0.3,HazeMa01,285.0,487.0,2892.0,13.0,2017
159,159,KJBrent,IND,24,WR,5,1,0,0.0%,0,,0,0.0,0.0,0.0,BrenK.00,285.0,487.0,2892.0,13.0,2017
160,160,MarquiseGoodwin,SFO,27,WR,16,105,56,53.3%,962,17.2,2,9.2,3.5,60.1,GoodMa00,362.0,607.0,3925.0,15.0,2017
161,161,TrentTaylor,SFO,23,WR,15,60,43,71.7%,430,10.0,2,7.2,2.9,28.7,TaylTr02,362.0,607.0,3925.0,15.0,2017
162,162,PierreGarcon,SFO,31,WR,8,67,40,59.7%,500,12.5,0,7.5,5.0,62.5,GarcPi00,362.0,607.0,3925.0,15.0,2017
163,163,AldrickRobinson,SFO,29,WR,16,48,19,39.6%,260,13.7,2,5.4,1.2,16.3,RobiAl00,362.0,607.0,3925.0,15.0,2017
164,164,KendrickBourne,SFO,22,WR,11,34,16,47.1%,257,16.1,0,7.6,1.5,23.4,BourKe00,362.0,607.0,3925.0,15.0,2017
165,165,LouisMurphy,SFO,30,WR,7,17,8,47.1%,121,15.1,1,7.1,1.1,17.3,MurpLo00,362.0,607.0,3925.0,15.0,2017
166,166,MarqiseLee,JAX,26,WR,14,96,56,58.3%,702,12.5,3,7.3,4.0,50.1,LeexMa00,316.0,527.0,3593.0,21.0,2017
167,167,KeelanCole,JAX,24,WR,16,83,42,50.6%,748,17.8,3,9.0,2.6,46.8,ColeKe00,316.0,527.0,3593.0,21.0,2017
168,168,AllenHurns,JAX,26,WR,10,56,39,69.6%,484,12.4,2,8.6,3.9,48.4,HurnAl01,316.0,527.0,3593.0,21.0,2017
169,169,DedeWestbrook,JAX,24,WR,7,51,27,52.9%,339,12.6,1,6.6,3.9,48.4,WestDe00,316.0,527.0,3593.0,21.0,2017
170,170,JaydonMickens,JAX,23,WR,10,11,6,54.5%,77,12.8,2,7.0,0.6,7.7,MickJa01,316.0,527.0,3593.0,21.0,2017
171,171,ArreliousBenn,JAX,29,WR,9,2,1,50.0%,12,12.0,0,6.0,0.1,1.3,BennAr00,316.0,527.0,3593.0,21.0,2017
172,172,MaxMcCaffrey,JAX,23,WR,5,1,1,100.0%,4,4.0,0,4.0,0.2,0.8,McCaMa01,316.0,527.0,3593.0,21.0,2017
173,173,LarryPinkard,JAX,25,WR,4,1,1,100.0%,5,5.0,0,5.0,0.3,1.3,PinkLa00,316.0,527.0,3593.0,21.0,2017
174,174,AllenRobinson,JAX,24,WR,1,1,1,100.0%,17,17.0,0,17.0,1.0,17.0,RobiAl02,316.0,527.0,3593.0,21.0,2017
175,175,EricDecker,TEN,30,WR,16,83,54,65.1%,563,10.4,1,6.8,3.4,35.2,DeckEr00,306.0,496.0,3191.0,14.0,2017
176,176,RishardMatthews,TEN,28,WR,14,87,53,60.9%,795,15.0,4,9.1,3.8,56.8,MattRi00,306.0,496.0,3191.0,14.0,2017
177,177,CoreyDavis,TEN,22,WR,11,65,34,52.3%,375,11.0,0,5.8,3.1,34.1,DaviCo03,306.0,496.0,3191.0,14.0,2017
178,178,TaywanTaylor,TEN,22,WR,16,28,16,57.1%,231,14.4,1,8.3,1.0,14.4,TaylTa00,306.0,496.0,3191.0,14.0,2017
179,179,HarryDouglas,TEN,33,WR,2,3,1,33.3%,8,8.0,0,2.7,0.5,4.0,DougHa00,306.0,496.0,3191.0,14.0,2017
180,180,EricWeems,TEN,32,WR,16,2,1,50.0%,5,5.0,0,2.5,0.1,0.3,WeemEr00,306.0,496.0,3191.0,14.0,2017
181,181,MikeWallace,BAL,31,WR,15,92,52,56.5%,748,14.4,4,8.1,3.5,49.9,WallMi00,363.0,567.0,3030.0,20.0,2017
